iter	Passed	Remaining
0	1	112
1	2	100
2	2	90
3	3	84
4	4	81
5	5	80
6	5	78
7	6	76
8	7	73
9	7	71
10	8	69
11	9	67
12	9	65
13	10	63
14	10	62
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	54
22	15	53
23	16	53
24	17	52
25	18	51
26	19	51
27	20	51
28	20	50
29	21	50
30	22	49
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	43
40	30	43
41	30	42
42	31	42
43	32	41
44	33	40
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	33
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	69	0
