iter	RMSE
0	14.38048246
1	14.01515747
2	13.66552174
3	13.3133782
4	12.9797344
5	12.69636733
6	12.39727117
7	12.15416186
8	11.90820328
9	11.62001182
10	11.35644294
11	11.12568491
12	10.8713946
13	10.64133187
14	10.41036689
15	10.19421147
16	9.992467992
17	9.814200215
18	9.623212298
19	9.443188035
20	9.283107967
21	9.119519673
22	8.973658771
23	8.809341693
24	8.664136192
25	8.537135865
26	8.39797819
27	8.278660258
28	8.159477458
29	8.047876475
30	7.95035989
31	7.844145251
32	7.735779569
33	7.643571956
34	7.535931818
35	7.449285055
36	7.356581732
37	7.289665799
38	7.209721318
39	7.136179723
40	7.071489779
41	7.003180169
42	6.937150924
43	6.875431869
44	6.814080071
45	6.756666522
46	6.690302469
47	6.638277677
48	6.582551474
49	6.525247874
50	6.473873885
51	6.425129366
52	6.382348411
53	6.340518039
54	6.299266547
55	6.264053027
56	6.21995964
57	6.18651052
58	6.145625159
59	6.112899415
60	6.084575939
61	6.047059628
62	6.012689958
63	5.981470812
64	5.954067962
65	5.923666817
66	5.900164216
67	5.874401196
68	5.852405048
69	5.829250489
70	5.804464857
71	5.781919495
72	5.762922618
73	5.743164157
74	5.72492687
75	5.702922624
76	5.687321118
77	5.669198207
78	5.650774921
79	5.633468925
80	5.618933896
81	5.606617907
82	5.58894378
83	5.572749866
84	5.560181901
85	5.548133742
86	5.536920173
87	5.522579079
88	5.508790459
89	5.492657208
90	5.48314224
91	5.470330856
92	5.461406959
93	5.453483493
94	5.443449772
95	5.434309162
96	5.422981948
97	5.412264733
98	5.40378209
99	5.394291238
100	5.385402858
101	5.379181741
102	5.369051202
103	5.36056355
104	5.349886216
105	5.343836929
106	5.331287907
107	5.324123024
108	5.317583735
109	5.310386695
110	5.308477055
111	5.300917695
112	5.289574547
113	5.284557582
114	5.280640841
115	5.273827671
116	5.268808101
117	5.264641631
118	5.26095673
119	5.251022944
120	5.246156097
121	5.242167741
122	5.234691425
123	5.229868009
124	5.224603822
125	5.216746849
126	5.212035613
127	5.206515035
128	5.195694883
129	5.190448433
130	5.184805595
131	5.179079676
132	5.172053847
133	5.164175244
134	5.160580166
135	5.152089975
136	5.14460751
137	5.140174638
138	5.1348876
139	5.131149164
140	5.12782487
141	5.124111189
142	5.117510758
143	5.113891741
144	5.106528043
145	5.103321236
146	5.097423456
147	5.090258919
148	5.089641627
149	5.086865495
150	5.084757903
151	5.081269773
152	5.074769901
153	5.069872817
154	5.067971594
155	5.060718272
156	5.054399368
157	5.050743749
158	5.043207833
159	5.038127077
160	5.035936866
161	5.03204923
162	5.02653724
163	5.021706549
164	5.017793687
165	5.011831728
166	5.004947524
167	4.999930017
168	4.994397936
169	4.991652919
170	4.987800636
171	4.985489304
172	4.980265168
173	4.976184654
174	4.972614266
175	4.97110228
176	4.969239883
177	4.964496652
178	4.959674111
179	4.9546895
180	4.949133771
181	4.94344471
182	4.940033441
183	4.93497167
184	4.932711065
185	4.930399746
186	4.927243433
187	4.923507709
188	4.921217727
189	4.916919233
190	4.913211988
191	4.911856868
192	4.905622461
193	4.901262352
194	4.893481295
195	4.890981172
196	4.887425949
197	4.885294038
198	4.884009999
199	4.87715916
200	4.874101964
201	4.868404097
202	4.864116547
203	4.860031133
204	4.857032523
205	4.854641299
206	4.853547413
207	4.85137243
208	4.849483306
209	4.842365564
210	4.838805203
211	4.836042146
212	4.832600491
213	4.825252643
214	4.820530989
215	4.81674895
216	4.812595529
217	4.809687087
218	4.803776294
219	4.800221017
220	4.7955355
221	4.793395046
222	4.790700841
223	4.788588026
224	4.784495674
225	4.779239636
226	4.77663557
227	4.774765539
228	4.773055507
229	4.770987886
230	4.767563741
231	4.764116266
232	4.761581034
233	4.759749005
234	4.756351642
235	4.754527578
236	4.750845009
237	4.748693937
238	4.746672471
239	4.746309099
240	4.741558922
241	4.738615265
242	4.738110616
243	4.733367489
244	4.731359996
245	4.726111572
246	4.72416564
247	4.721794662
248	4.717957132
249	4.710163485
250	4.708279494
251	4.704294076
252	4.70185042
253	4.700220332
254	4.696924373
255	4.690836867
256	4.687174576
257	4.683334927
258	4.679889459
259	4.675237323
260	4.673979475
261	4.669441179
262	4.668032942
263	4.667801291
264	4.665129922
265	4.661226925
266	4.658498333
267	4.655072236
268	4.649003249
269	4.645683286
270	4.645133521
271	4.639513735
272	4.634371983
273	4.632069213
274	4.62208416
275	4.619088486
276	4.614566208
277	4.612154838
278	4.606209837
279	4.603362628
280	4.597444808
281	4.593017052
282	4.589009286
283	4.586957318
284	4.583143655
285	4.57746948
286	4.576171898
287	4.574942498
288	4.574068672
289	4.57235261
290	4.569110276
291	4.566096797
292	4.561725486
293	4.560428746
294	4.557556661
295	4.555939246
296	4.552780719
297	4.550357645
298	4.545330847
299	4.541190944
300	4.540515105
301	4.537090339
302	4.532786976
303	4.532581772
304	4.528113376
305	4.524043778
306	4.520951513
307	4.518438449
308	4.51686879
309	4.515742814
310	4.510219795
311	4.507611349
312	4.502759887
313	4.499396666
314	4.49646612
315	4.493701532
316	4.488258194
317	4.482272791
318	4.479918934
319	4.477095324
320	4.476870593
321	4.471388246
322	4.467094085
323	4.46472915
324	4.463114151
325	4.460468026
326	4.457952139
327	4.455328568
328	4.453861878
329	4.451531585
330	4.449718831
331	4.448121269
332	4.44265289
333	4.439737323
334	4.438283594
335	4.438038937
336	4.436944433
337	4.433638673
338	4.431239988
339	4.429638288
340	4.427542838
341	4.424139304
342	4.422745432
343	4.421679469
344	4.418517967
345	4.416818128
346	4.41539503
347	4.413616997
348	4.407675489
349	4.404554924
350	4.400204913
351	4.396415277
352	4.393135461
353	4.390062776
354	4.386648571
355	4.382638916
356	4.381064048
357	4.37696659
358	4.372854085
359	4.368610749
360	4.364565629
361	4.359957157
362	4.358158699
363	4.353665278
364	4.349360083
365	4.344030378
366	4.343836696
367	4.337924072
368	4.334659359
369	4.333116651
370	4.330316701
371	4.327649089
372	4.327088888
373	4.323507644
374	4.323351386
375	4.315417343
376	4.312850859
377	4.310591524
378	4.307745172
379	4.303498898
380	4.299237913
381	4.296461251
382	4.293438428
383	4.287716575
384	4.286442881
385	4.286294591
386	4.282761708
387	4.277649116
388	4.275034419
389	4.271352084
390	4.269598386
391	4.268086191
392	4.264896116
393	4.263767898
394	4.259227773
395	4.258483931
396	4.253777836
397	4.248680626
398	4.245600328
399	4.243337706
400	4.241488207
401	4.23604562
402	4.23536347
403	4.232651067
404	4.22971029
405	4.227384407
406	4.22448704
407	4.221743681
408	4.216746427
409	4.215580153
410	4.212471912
411	4.209829506
412	4.207289875
413	4.206474415
414	4.201970012
415	4.199994574
416	4.196912452
417	4.196226011
418	4.191854069
419	4.189900265
420	4.18840426
421	4.183752523
422	4.182329078
423	4.180440405
424	4.175051403
425	4.169378781
426	4.16590298
427	4.164494824
428	4.163329949
429	4.16203751
430	4.157988672
431	4.156454142
432	4.153764435
433	4.153127788
434	4.148483692
435	4.146788847
436	4.146495411
437	4.142474284
438	4.142276772
439	4.139852126
440	4.138030477
441	4.132490371
442	4.130603274
443	4.125953645
444	4.124602367
445	4.122147074
446	4.118556142
447	4.115202744
448	4.113077891
449	4.108728349
450	4.104914466
451	4.102474325
452	4.100391366
453	4.096163341
454	4.095219366
455	4.092951304
456	4.090080706
457	4.087859956
458	4.083103437
459	4.078712385
460	4.076053139
461	4.073840046
462	4.070364703
463	4.069763283
464	4.067777445
465	4.065763762
466	4.064632417
467	4.060098648
468	4.056095918
469	4.0521259
470	4.049483196
471	4.046168896
472	4.043176079
473	4.040199229
474	4.036763057
475	4.03414057
476	4.033741393
477	4.0319496
478	4.028423535
479	4.025739063
480	4.0232735
481	4.02015144
482	4.01672778
483	4.012073109
484	4.011733341
485	4.009157688
486	4.008074225
487	4.00692258
488	4.0045471
489	4.001911853
490	3.99944774
491	3.996676039
492	3.996580237
493	3.992141289
494	3.990098488
495	3.986748197
496	3.984206814
497	3.98007809
498	3.975736907
499	3.97505288
500	3.970437982
501	3.969631452
502	3.966381104
503	3.962595621
504	3.959760638
505	3.958680589
506	3.955318767
507	3.953070288
508	3.951036727
509	3.947779548
510	3.94432485
511	3.942792653
512	3.941338349
513	3.940022878
514	3.937309479
515	3.935803327
516	3.935365323
517	3.933373793
518	3.931921609
519	3.928850438
520	3.926426616
521	3.921986166
522	3.919368805
523	3.915114681
524	3.913250863
525	3.91028115
526	3.90943432
527	3.905734747
528	3.903730319
529	3.900776031
530	3.898286469
531	3.894480802
532	3.893921343
533	3.892126262
534	3.88966956
535	3.888956564
536	3.884434527
537	3.880523253
538	3.878556845
539	3.876842786
540	3.874618775
541	3.874338895
542	3.871682563
543	3.870307699
544	3.865472828
545	3.86381848
546	3.859411281
547	3.856066641
548	3.855408186
549	3.850427938
550	3.84950416
551	3.846061105
552	3.84463756
553	3.841636161
554	3.838606516
555	3.838150355
556	3.835886795
557	3.833756861
558	3.831836639
559	3.828580191
560	3.827959259
561	3.823693172
562	3.821500328
563	3.819020024
564	3.816934907
565	3.816024497
566	3.811976232
567	3.808831996
568	3.806209811
569	3.803187836
570	3.799254591
571	3.795297722
572	3.792158104
573	3.790198407
574	3.788081023
575	3.785100247
576	3.783604484
577	3.780425113
578	3.776377234
579	3.773110894
580	3.771030888
581	3.767729658
582	3.764872541
583	3.763129481
584	3.75845582
585	3.754596752
586	3.752799651
587	3.750515993
588	3.750448421
589	3.748364636
590	3.746706961
591	3.743355491
592	3.741462218
593	3.740021675
594	3.736594162
595	3.735040342
596	3.734658256
597	3.733227198
598	3.732449987
599	3.730323571
600	3.729543846
601	3.725321517
602	3.72434706
603	3.721441911
604	3.719364679
605	3.717600521
606	3.716160253
607	3.713261905
608	3.711536903
609	3.709398702
610	3.70749758
611	3.705285919
612	3.703085622
613	3.702215007
614	3.697497908
615	3.694147465
616	3.691634675
617	3.690141725
618	3.687538124
619	3.685539349
620	3.682509692
621	3.680856423
622	3.677560381
623	3.677042839
624	3.673006692
625	3.669908561
626	3.666511057
627	3.663543496
628	3.662048416
629	3.660142686
630	3.658707913
631	3.654687482
632	3.652746352
633	3.649245151
634	3.647554914
635	3.645596136
636	3.644682668
637	3.641270599
638	3.638689752
639	3.636034939
640	3.634239794
641	3.632283591
642	3.629084971
643	3.627665662
644	3.624900791
645	3.622839386
646	3.620093265
647	3.617543339
648	3.617095403
649	3.61289878
650	3.608609088
651	3.605765162
652	3.603916719
653	3.602145626
654	3.600372461
655	3.599021775
656	3.595539817
657	3.594666566
658	3.593131111
659	3.591024679
660	3.589585918
661	3.588084163
662	3.585430224
663	3.584064073
664	3.582301196
665	3.579494508
666	3.577405646
667	3.57342315
668	3.571100167
669	3.568570929
670	3.567294778
671	3.563697816
672	3.563045172
673	3.561715888
674	3.559308287
675	3.558310756
676	3.5575663
677	3.552945826
678	3.548549196
679	3.545953107
680	3.544188617
681	3.542230286
682	3.541283333
683	3.539916576
684	3.537822809
685	3.536317111
686	3.535316316
687	3.533864429
688	3.532177388
689	3.530189286
690	3.528742114
691	3.528320103
692	3.525653045
693	3.524195674
694	3.523451923
695	3.520355303
696	3.518040221
697	3.514788375
698	3.512446737
699	3.50920809
700	3.505181227
701	3.503458074
702	3.499326494
703	3.497120761
704	3.495732546
705	3.494667878
706	3.49195255
707	3.491464622
708	3.488403263
709	3.486320362
710	3.484115731
711	3.481651998
712	3.477735401
713	3.476713528
714	3.47580621
715	3.473031664
716	3.469631519
717	3.468434204
718	3.465544943
719	3.464029155
720	3.461317956
721	3.459717691
722	3.459467595
723	3.458763301
724	3.457912862
725	3.456039388
726	3.453836057
727	3.451023067
728	3.449082374
729	3.44863004
730	3.447245553
731	3.445636941
732	3.443942261
733	3.441542486
734	3.439540047
735	3.435776422
736	3.431431357
737	3.430830898
738	3.430655805
739	3.428387197
740	3.424990831
741	3.423466212
742	3.422290486
743	3.420191101
744	3.419184951
745	3.417142809
746	3.413841548
747	3.410770345
748	3.409572063
749	3.407376965
750	3.403243281
751	3.40160369
752	3.40068733
753	3.396754378
754	3.394264949
755	3.390947063
756	3.389874226
757	3.388088259
758	3.387881587
759	3.387490933
760	3.38470297
761	3.383729777
762	3.381957536
763	3.379805618
764	3.379059955
765	3.377234272
766	3.373865326
767	3.372539272
768	3.370082193
769	3.368034349
770	3.365862215
771	3.363609169
772	3.363242143
773	3.361069184
774	3.35968654
775	3.35856603
776	3.356993958
777	3.35492255
778	3.352706991
779	3.352004256
780	3.350171077
781	3.34849085
782	3.347048335
783	3.344361297
784	3.343757846
785	3.340178262
786	3.338743721
787	3.337987038
788	3.336113579
789	3.334040382
790	3.332941527
791	3.331987465
792	3.329801093
793	3.327447329
794	3.32667287
795	3.322959472
796	3.319099113
797	3.318256115
798	3.315427337
799	3.314622737
800	3.313287222
801	3.311532927
802	3.30817514
803	3.306367436
804	3.303169873
805	3.3026155
806	3.302526463
807	3.301691191
808	3.300629124
809	3.299297351
810	3.29727279
811	3.296134124
812	3.295087698
813	3.294183779
814	3.292759104
815	3.291408809
816	3.290213582
817	3.289202447
818	3.28644041
819	3.286010571
820	3.285471499
821	3.283806884
822	3.280134234
823	3.279905222
824	3.278941789
825	3.276601337
826	3.275909603
827	3.274981163
828	3.273006759
829	3.270959944
830	3.270414755
831	3.27021256
832	3.267158866
833	3.265112998
834	3.263337143
835	3.258847428
836	3.256217155
837	3.253719186
838	3.250351294
839	3.247059048
840	3.244142473
841	3.241639083
842	3.239113194
843	3.238477612
844	3.235864435
845	3.235166103
846	3.233552167
847	3.231700073
848	3.229747423
849	3.228247897
850	3.227502784
851	3.225779381
852	3.222421442
853	3.221682262
854	3.219968661
855	3.218478583
856	3.218258988
857	3.217262004
858	3.217179736
859	3.214536814
860	3.211945365
861	3.211270631
862	3.210194593
863	3.210076174
864	3.207308931
865	3.207095884
866	3.206373916
867	3.204885873
868	3.201522553
869	3.200719902
870	3.197596074
871	3.195554245
872	3.194772878
873	3.192876464
874	3.191570967
875	3.188677369
876	3.186184889
877	3.185385238
878	3.18432784
879	3.181599113
880	3.181259252
881	3.180655794
882	3.178932736
883	3.177940813
884	3.177289433
885	3.173914898
886	3.17237338
887	3.171880959
888	3.169788254
889	3.168953465
890	3.167905546
891	3.164736252
892	3.16414698
893	3.161980867
894	3.160344752
895	3.158897456
896	3.157316477
897	3.156081074
898	3.155821396
899	3.153118422
900	3.151650759
901	3.149685265
902	3.148389742
903	3.147873919
904	3.145433484
905	3.14443468
906	3.143155757
907	3.142202071
908	3.13950191
909	3.138987428
910	3.137462855
911	3.135714042
912	3.134973461
913	3.133216127
914	3.130718724
915	3.127633405
916	3.126996557
917	3.126750297
918	3.125700615
919	3.124348084
920	3.123714028
921	3.123245939
922	3.121930225
923	3.118504237
924	3.115850876
925	3.11580782
926	3.113775628
927	3.112079398
928	3.111708997
929	3.109128171
930	3.108768584
931	3.10686908
932	3.105126914
933	3.103384416
934	3.101984729
935	3.101877564
936	3.100709097
937	3.100644381
938	3.100196762
939	3.099106895
940	3.098290388
941	3.096867356
942	3.095729782
943	3.094669559
944	3.094030551
945	3.09078987
946	3.08993083
947	3.087064196
948	3.085583793
949	3.083643349
950	3.081520944
951	3.080052753
952	3.078107665
953	3.075569804
954	3.07520674
955	3.074608682
956	3.074416839
957	3.071866503
958	3.069649188
959	3.068475853
960	3.06588781
961	3.064136621
962	3.062231766
963	3.060444017
964	3.059447533
965	3.058799463
966	3.05739942
967	3.056689755
968	3.054745708
969	3.052603572
970	3.050962809
971	3.049977732
972	3.049426075
973	3.048384999
974	3.045497825
975	3.045003488
976	3.044850641
977	3.042445426
978	3.040046579
979	3.037761563
980	3.036580936
981	3.034659041
982	3.033124258
983	3.031615354
984	3.031050562
985	3.030461158
986	3.028998318
987	3.0273432
988	3.026776293
989	3.025358206
990	3.024409493
991	3.022227299
992	3.020757386
993	3.020223223
994	3.019760726
995	3.019091871
996	3.0182498
997	3.017632946
998	3.016674275
999	3.015364257
