iter	Passed	Remaining
0	1	1126
1	1	966
2	2	903
3	3	917
4	4	918
5	5	919
6	6	890
7	6	864
8	7	847
9	8	829
10	9	815
11	9	804
12	10	810
13	11	826
14	12	824
15	13	821
16	14	821
17	14	818
18	15	810
19	16	802
20	17	800
21	17	798
22	18	793
23	19	787
24	20	781
25	20	776
26	21	772
27	22	767
28	22	762
29	23	761
30	24	761
31	25	761
32	26	763
33	27	768
34	28	773
35	28	773
36	29	771
37	30	768
38	31	764
39	31	761
40	32	761
41	33	760
42	34	759
43	34	756
44	35	754
45	36	750
46	36	747
47	37	744
48	38	741
49	39	741
50	40	746
51	41	749
52	41	749
53	42	747
54	43	746
55	44	743
56	44	744
57	45	746
58	46	746
59	47	744
60	48	742
61	48	740
62	49	737
63	50	734
64	50	732
65	51	730
66	52	727
67	53	726
68	53	726
69	54	727
70	55	727
71	56	727
72	57	727
73	58	726
74	58	724
75	59	722
76	60	720
77	60	717
78	61	717
79	62	715
80	62	713
81	63	711
82	64	709
83	64	708
84	65	705
85	66	704
86	66	702
87	67	703
88	68	704
89	69	705
90	70	706
91	71	707
92	72	708
93	73	708
94	74	708
95	75	709
96	76	708
97	76	706
98	77	704
99	78	703
100	78	701
101	79	699
102	80	698
103	80	696
104	81	697
105	82	696
106	83	699
107	84	699
108	85	699
109	86	699
110	86	696
111	87	695
112	88	696
113	89	697
114	90	696
115	91	696
116	92	695
117	92	693
118	93	691
119	94	689
120	94	688
121	95	689
122	96	689
123	97	690
124	98	691
125	99	690
126	100	690
127	101	691
128	102	694
129	104	697
130	105	700
131	106	699
132	107	698
133	108	698
134	108	697
135	109	696
136	110	696
137	111	695
138	112	697
139	113	697
140	114	696
141	115	695
142	115	694
143	116	693
144	117	693
145	118	692
146	119	691
147	119	690
148	120	687
149	121	686
150	122	686
151	123	686
152	123	685
153	124	684
154	125	684
155	127	692
156	128	691
157	129	691
158	130	691
159	131	691
160	132	691
161	133	690
162	134	690
163	135	689
164	135	688
165	136	687
166	138	689
167	139	689
168	140	688
169	142	696
170	143	698
171	144	697
172	145	697
173	147	697
174	148	698
175	148	697
176	149	696
177	150	695
178	151	694
179	152	693
180	153	692
181	153	691
182	157	703
183	160	709
184	164	724
185	165	724
186	166	725
187	168	727
188	169	728
189	172	734
190	173	735
191	174	735
192	176	736
193	177	737
194	178	737
195	180	738
196	181	739
197	183	742
198	184	743
199	186	747
200	188	749
201	189	750
202	191	750
203	192	751
204	194	755
205	196	756
206	197	756
207	198	756
208	199	756
209	201	757
210	202	756
211	203	755
212	204	754
213	205	753
214	205	751
215	207	751
216	207	750
217	208	748
218	209	746
219	210	745
220	212	748
221	213	747
222	214	747
223	215	746
224	216	745
225	217	743
226	217	741
227	218	740
228	219	739
229	220	738
230	221	736
231	221	734
232	222	733
233	223	731
234	224	729
235	225	728
236	226	728
237	227	727
238	228	726
239	229	726
240	230	725
241	231	724
242	232	723
243	232	721
244	233	720
245	234	718
246	235	717
247	236	715
248	236	714
249	238	715
250	240	717
251	241	717
252	243	718
253	245	719
254	246	721
255	247	720
256	248	719
257	249	717
258	250	716
259	251	714
260	252	713
261	252	712
262	253	711
263	254	709
264	255	708
265	256	706
266	256	705
267	258	705
268	259	705
269	260	704
270	261	703
271	262	702
272	263	700
273	263	699
274	264	697
275	265	696
276	266	694
277	266	692
278	267	691
279	268	689
280	268	688
281	269	686
282	270	685
283	271	684
284	272	683
285	273	683
286	274	682
287	275	681
288	276	679
289	276	677
290	277	676
291	278	675
292	279	673
293	280	672
294	280	671
295	281	669
296	282	667
